class,ENSG00000257261.5,ENSG00000225408.1,ENSG00000261098.1,ENSG00000223442.1,ENSG00000236088.9,ENSG00000222042.1,ENSG00000236453.5,ENSG00000257497.2,ENSG00000250337.5,ENSG00000259623.1,ENSG00000230300.1,ENSG00000236901.6,ENSG00000257953.1,ENSG00000224905.6,ENSG00000256746.5,ENSG00000232956.8,ENSG00000246250.2,ENSG00000224238.2,ENSG00000235560.3,ENSG00000245928.2,ENSG00000231721.7,ENSG00000261094.2,ENSG00000232774.7,ENSG00000255717.6,ENSG00000261324.2,ENSG00000237036.4,ENSG00000236137.1,ENSG00000234174.1,ENSG00000258875.5,ENSG00000235823.2,ENSG00000253352.9,ENSG00000248714.6,ENSG00000237976.1,ENSG00000223482.7,ENSG00000215022.7,ENSG00000225205.5,ENSG00000205786.8,ENSG00000231074.8,ENSG00000261367.1,ENSG00000237484.5,ENSG00000124915.10,ENSG00000233367.1,ENSG00000205056.8,ENSG00000182165.17,ENSG00000261476.1,ENSG00000236668.2,ENSG00000197670.6,ENSG00000259345.6,ENSG00000216863.9,ENSG00000232081.1,ENSG00000214106.8,ENSG00000251513.2,ENSG00000215039.6,ENSG00000229751.1,ENSG00000235131.1,ENSG00000248049.6,ENSG00000260114.2,ENSG00000233429.9,ENSG00000244879.6,ENSG00000224032.6,ENSG00000247556.6,ENSG00000235629.1,ENSG00000231889.7,ENSG00000261618.1,ENSG00000249150.1,ENSG00000204685.6,ENSG00000261766.1,ENSG00000230937.11,ENSG00000238113.6,ENSG00000259659.1,ENSG00000260884.1,ENSG00000203497.2,ENSG00000239569.3,ENSG00000261270.1,ENSG00000224914.3,ENSG00000253811.1,ENSG00000179818.13,ENSG00000227518.5,ENSG00000254248.1,ENSG00000231119.2,ENSG00000225484.6,ENSG00000261573.1,ENSG00000231607.10,ENSG00000246067.7,ENSG00000261716.1,ENSG00000225733.5,ENSG00000234072.1,ENSG00000259366.1,ENSG00000229246.1,ENSG00000261604.1,ENSG00000228223.3,ENSG00000259820.1,ENSG00000230590.9,ENSG00000251171.1,ENSG00000261366.1,ENSG00000205885.7,ENSG00000248734.2,ENSG00000261520.5,ENSG00000223745.7,ENSG00000227540.1,ENSG00000255647.3,ENSG00000224565.1,ENSG00000178977.3,ENSG00000235300.4,ENSG00000215424.9,ENSG00000203386.6,ENSG00000253106.1,ENSG00000215417.12,ENSG00000256742.1,ENSG00000225092.2,ENSG00000224660.1,ENSG00000206337.10,ENSG00000234281.5,ENSG00000235531.9,ENSG00000225226.1,ENSG00000248701.1,ENSG00000258526.5,ENSG00000249175.1,ENSG00000257167.2,ENSG00000228393.3,ENSG00000235621.8,ENSG00000242125.3,ENSG00000254325.2,ENSG00000247774.6,ENSG00000257815.5,ENSG00000241168.1,ENSG00000259986.1,ENSG00000221953.5,ENSG00000251603.1,ENSG00000245479.2,ENSG00000229905.1,ENSG00000228794.8,ENSG00000233527.8,ENSG00000230438.6,ENSG00000224020.1,ENSG00000260917.1,ENSG00000237298.9,ENSG00000224204.1,ENSG00000179676.6,ENSG00000253320.5,ENSG00000228763.1,ENSG00000226669.2,ENSG00000259001.3,ENSG00000227619.1,ENSG00000226779.1,ENSG00000235419.5,ENSG00000246859.2,ENSG00000225489.6,ENSG00000253112.1,ENSG00000240240.8,ENSG00000244625.5,ENSG00000260580.1,ENSG00000258441.1,ENSG00000251562.8,ENSG00000230747.1,ENSG00000261436.5,ENSG00000237883.1,ENSG00000251088.1,ENSG00000224137.1,ENSG00000259485.1,ENSG00000257242.7,ENSG00000260083.1,ENSG00000230896.1,ENSG00000250988.7,ENSG00000242659.1,ENSG00000245937.7,ENSG00000251194.2,ENSG00000250155.1,ENSG00000260583.1,ENSG00000227920.2,ENSG00000249614.1,ENSG00000240291.1,ENSG00000261030.1,ENSG00000226328.6,ENSG00000261326.2,ENSG00000246477.3,ENSG00000231671.1,ENSG00000226312.7,ENSG00000245532.8,ENSG00000236977.1,ENSG00000253372.5,ENSG00000254205.1,ENSG00000234509.1,ENSG00000230612.3,ENSG00000196167.9,ENSG00000228857.2,ENSG00000177406.4,ENSG00000248202.1,ENSG00000249673.6,ENSG00000261471.1,ENSG00000253711.1,ENSG00000236199.1,ENSG00000259883.1,ENSG00000232931.5,ENSG00000236144.6,ENSG00000227215.1,ENSG00000228863.8,ENSG00000234705.1,ENSG00000249592.5,ENSG00000227039.6,ENSG00000261061.1,ENSG00000242588.5,ENSG00000224870.6,ENSG00000230606.10,ENSG00000229780.1,ENSG00000234323.6,ENSG00000231794.5,ENSG00000230551.4,ENSG00000247271.6,ENSG00000261485.1,ENSG00000245275.7,ENSG00000224078.13,ENSG00000261135.1,ENSG00000196756.11,ENSG00000225889.7,ENSG00000237638.1,ENSG00000229255.1,ENSG00000229989.3,ENSG00000204261.8,ENSG00000259972.2,ENSG00000227674.1,ENSG00000226419.7,ENSG00000241666.2,ENSG00000227197.1,ENSG00000232564.3,ENSG00000261249.1,ENSG00000227403.1,ENSG00000253839.1,ENSG00000234684.6,ENSG00000180712.3,ENSG00000260896.5,ENSG00000203362.2,ENSG00000226688.6,ENSG00000260565.6,ENSG00000224799.1,ENSG00000196741.5,ENSG00000232940.5,ENSG00000235919.4,ENSG00000225793.2,ENSG00000187951.11,ENSG00000212978.6,ENSG00000229388.1,ENSG00000245149.3,ENSG00000260942.1,ENSG00000241163.7,ENSG00000225470.7,ENSG00000250159.6,ENSG00000251301.6,ENSG00000245694.9,ENSG00000251136.8,ENSG00000261596.2,ENSG00000247809.7,ENSG00000239653.1,ENSG00000224933.2,ENSG00000251022.6,ENSG00000259153.1,ENSG00000231890.7,ENSG00000245311.2,ENSG00000248092.7,ENSG00000205664.10,ENSG00000254166.2,ENSG00000253456.1,ENSG00000258082.1,ENSG00000177738.3,ENSG00000238018.2,ENSG00000258365.1,ENSG00000248360.7,ENSG00000259380.5,ENSG00000234917.2,ENSG00000246228.6,ENSG00000260997.1,ENSG00000226965.1,ENSG00000184224.3,ENSG00000245534.6,ENSG00000226806.1,ENSG00000248738.6,ENSG00000236008.1,ENSG00000231881.1,ENSG00000253829.1,ENSG00000256967.1,ENSG00000233340.1,ENSG00000261799.1,ENSG00000196696.12,ENSG00000255299.5,ENSG00000229325.1,ENSG00000237331.1,ENSG00000226696.5,ENSG00000224141.5,ENSG00000258168.5,ENSG00000250081.1,ENSG00000260971.4,ENSG00000261220.2,ENSG00000227502.2,ENSG00000232063.1,ENSG00000234290.2,ENSG00000233885.7,ENSG00000247092.6,ENSG00000256218.1,ENSG00000226751.2,ENSG00000154537.4,ENSG00000234912.11,ENSG00000258199.1,ENSG00000247982.6,ENSG00000259954.1,ENSG00000257647.1,ENSG00000224950.2,ENSG00000225855.6,ENSG00000229807.10,ENSG00000247903.1,ENSG00000259642.2,ENSG00000259134.5,ENSG00000231177.4,ENSG00000254207.1,ENSG00000236790.5,ENSG00000232907.7,ENSG00000258885.1,ENSG00000203325.3,ENSG00000260804.3,ENSG00000248152.1,ENSG00000223546.6,ENSG00000251586.1,ENSG00000245970.2,ENSG00000197085.11,ENSG00000259291.2,ENSG00000218537.1,ENSG00000233834.6,ENSG00000255893.1,ENSG00000215256.3,ENSG00000257151.1,ENSG00000258297.1,ENSG00000234771.3,ENSG00000226950.6,ENSG00000181800.5,ENSG00000259116.1,ENSG00000234327.7,ENSG00000230392.1,ENSG00000235085.3,ENSG00000245060.6,ENSG00000175061.17,ENSG00000223511.7,ENSG00000249334.1,ENSG00000237499.6,ENSG00000261008.6,ENSG00000197813.5,ENSG00000232995.7,ENSG00000231227.1,ENSG00000260822.1,ENSG00000229276.1,ENSG00000238121.5,ENSG00000256193.5,ENSG00000256452.1,ENSG00000254635.5,ENSG00000234184.5,ENSG00000233251.7,ENSG00000236859.6,ENSG00000163597.14,ENSG00000260975.1,ENSG00000226026.5,ENSG00000228888.1,ENSG00000253738.1,ENSG00000228434.1,ENSG00000254319.5,ENSG00000246582.2,ENSG00000243055.1,ENSG00000254911.3,ENSG00000224184.5,ENSG00000224521.1,ENSG00000253633.1,ENSG00000235298.1,ENSG00000249318.1,ENSG00000231365.5,ENSG00000237031.7,ENSG00000254254.5,ENSG00000234883.5,ENSG00000247828.7,ENSG00000258682.1,ENSG00000258136.1,ENSG00000236991.6,ENSG00000153363.12,ENSG00000256262.1,ENSG00000225377.5,ENSG00000236591.1,ENSG00000259772.6,ENSG00000259456.3,ENSG00000245080.7,ENSG00000225914.2,ENSG00000254557.1,ENSG00000246451.2,ENSG00000237073.1,ENSG00000257894.2,ENSG00000234810.3,ENSG00000234449.2,ENSG00000232098.3,ENSG00000253716.5,ENSG00000236255.1,ENSG00000233922.2,ENSG00000227486.1,ENSG00000197536.11,ENSG00000257621.7,ENSG00000234171.2,ENSG00000196295.11,ENSG00000237491.8,ENSG00000225963.7,ENSG00000206573.8,ENSG00000246263.2,ENSG00000239665.8,ENSG00000248445.5,ENSG00000226380.9,ENSG00000230782.1,ENSG00000235978.6,ENSG00000232164.1,ENSG00000235366.2,ENSG00000229999.6,ENSG00000239705.1,ENSG00000259398.1,ENSG00000249096.6,ENSG00000255135.3,ENSG00000255968.1,ENSG00000185433.8,ENSG00000251002.7,ENSG00000253522.6,ENSG00000197989.13,ENSG00000228262.8,ENSG00000246790.2,ENSG00000213468.5,ENSG00000260032.1,ENSG00000261416.1,ENSG00000254186.2,ENSG00000103472.10,ENSG00000247157.6,ENSG00000203709.11,ENSG00000233828.3,ENSG00000229127.1,ENSG00000255139.1,ENSG00000245556.2,ENSG00000247121.6,ENSG00000248008.2,ENSG00000206344.7,ENSG00000198496.11,ENSG00000259448.2,ENSG00000214772.2,ENSG00000259326.1,ENSG00000254258.1,ENSG00000238198.1
random,0,0,2,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,1,2,0,5,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,4,0,1,0,4,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,3,0,2,0,1,1,0,2,4,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,2,5,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,2,0,4,0,5,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,6,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,4
real,0,0,16,0,4,0,7,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,5,3,4,0,3,0,8,0,0,27,1,3,0,0,0,3,0,0,4,13,0,0,0,0,0,5,0,0,0,10,0,12,0,0,0,4,5,0,0,0,0,0,0,0,4,0,1,0,0,5,2,0,0,8,0,2,0,2,0,10,2,0,0,1,0,7,0,0,3,0,0,5,0,0,0,1,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,5,0,0,0,0,2,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,3,0,0,3,3,2,0,0,1,0,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,2,0,0,16,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,23,10,0,0,0,0,0,0,0,6,0,5,2,0,12,0,4,3,0,0,2,0,0,0,0,8,0,8,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,3,0,1,11,1,0,0,0,3,0,1,0,13,0,0,0,0,0,6,0,0,0,14,13,0,1,0,0,0,5,0,5,0,0,0,0,0,0,14,1,0,3,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,6,6,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,0,4,0,1,2,0,0,11,0,5,4,0,4,0,4,3,8,0,0,8,0,0,0,0,0,0,2,8,0,0,0,3,0,11,0,0,1,4,0,1,0,13,0,0,0,0,0,0,3,0,0,5,0,0,0,3
random,0,0,11,0,4,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,2,4,1,2,0,0,9,0,0,14,0,4,0,0,0,5,0,3,6,15,0,0,0,1,0,3,1,0,0,10,1,15,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,0,0,0,4,0,9,6,0,0,0,0,11,5,0,3,0,0,10,0,0,0,0,0,0,0,18,2,0,0,0,0,0,7,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,15,0,4,0,3,3,7,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,10,0,0,0,21,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,11,14,0,0,0,0,0,0,1,8,0,2,0,2,12,0,6,4,0,0,1,0,0,0,0,6,0,12,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,5,0,1,12,1,0,0,0,0,0,2,0,12,0,0,0,0,0,9,0,0,0,9,13,0,4,0,0,0,6,0,7,0,0,0,0,0,0,13,0,0,5,0,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,5,10,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,5,1,2,0,4,0,1,0,0,3,12,0,6,6,0,5,0,6,0,9,0,0,9,0,0,0,0,0,0,1,7,0,0,0,6,0,12,0,1,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,5
random,0,0,16,0,9,0,4,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,2,8,0,0,1,11,1,1,1,0,7,0,0,23,0,4,0,0,0,1,0,2,5,11,0,0,0,0,1,5,0,0,0,14,1,17,0,0,0,9,2,1,0,0,0,0,0,0,0,0,1,0,0,7,3,0,0,5,0,0,0,4,0,9,2,0,0,0,0,13,7,0,0,0,0,4,0,0,0,0,1,0,0,11,4,0,0,0,0,0,6,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,9,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,15,0,6,0,2,7,12,2,0,1,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,15,0,0,0,21,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,16,12,0,0,0,0,0,0,1,10,0,3,0,0,8,0,6,6,1,0,4,0,0,0,0,14,0,12,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,6,0,3,12,0,0,0,1,0,0,1,0,13,0,0,0,1,0,5,0,0,0,12,7,0,3,0,0,0,7,1,13,0,1,1,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,25,0,0,2,0,0,0,10,10,0,0,0,1,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,0,0,0,1,1,3,0,5,0,0,0,0,0,16,0,5,4,0,7,0,7,1,7,0,0,9,1,0,0,0,0,0,1,9,0,0,0,4,1,12,0,0,3,1,0,2,0,12,0,0,0,0,0,0,0,0,3,3,0,0,0,10
real,0,0,9,0,5,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,5,2,2,1,0,7,0,0,7,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,2,0,0,0,7,0,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,6,0,3,4,0,0,0,0,7,1,0,0,0,0,7,0,0,0,0,0,0,0,10,1,0,0,0,0,0,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,11,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,11,0,5,0,2,2,7,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,6,0,1,0,0,7,0,2,5,0,0,2,0,0,0,0,12,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,15,0,0,0,0,0,0,3,0,6,0,0,0,0,0,11,0,0,0,5,6,0,0,0,0,0,8,0,6,0,0,0,0,0,0,8,0,0,5,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,7,8,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,12,1,2,8,0,5,0,6,2,3,1,0,11,0,0,0,0,0,0,1,3,0,0,0,2,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6
random,0,0,7,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,3,0,0,5,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,2,0,1,0,0,3,0,2,0,0,0,3,1,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,0,7,5,0,1,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
real,0,0,19,0,14,0,14,0,0,4,0,0,0,4,0,0,0,0,1,0,0,1,0,3,11,0,0,7,11,3,4,3,0,15,0,0,28,0,8,0,0,0,2,0,0,11,14,1,1,0,3,0,7,0,0,0,21,1,24,0,0,0,10,2,2,0,0,0,0,0,0,4,0,2,0,0,12,6,0,0,8,0,0,0,10,0,13,5,0,0,0,0,22,9,0,7,0,0,12,0,0,0,0,0,0,0,16,3,0,0,0,0,0,12,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,13,0,1,0,0,3,0,5,0,1,0,0,0,14,0,0,0,7,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,1,9,0,0,2,0,0,0,18,0,10,0,3,6,12,7,0,1,1,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,0,27,1,0,0,30,0,1,0,0,1,5,4,0,0,0,0,0,1,0,0,21,17,0,0,1,0,1,0,0,13,0,4,1,2,17,0,11,10,0,0,4,0,0,0,0,15,0,15,0,20,0,0,0,0,0,1,0,0,2,0,0,0,0,0,11,0,0,11,0,1,24,2,0,0,2,3,0,5,0,18,0,0,0,0,0,15,0,0,0,20,14,0,7,0,0,0,15,0,14,0,1,0,0,0,1,24,0,0,11,0,1,0,1,0,0,0,0,0,0,35,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,34,0,0,3,1,0,0,10,14,1,0,0,0,0,0,15,0,11,0,0,0,0,0,0,2,1,0,0,0,0,1,11,0,0,0,0,0,0,3,0,3,0,6,0,1,0,0,6,27,0,11,11,0,13,0,14,2,12,1,0,19,0,0,1,0,0,0,5,11,0,0,0,8,0,26,0,1,1,0,1,5,0,25,0,0,0,0,0,0,1,0,0,9,0,0,0,13
random,0,0,5,0,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,3,2,0,0,3,5,2,0,1,0,9,0,1,13,0,4,0,0,0,0,0,1,4,5,0,0,0,1,0,2,0,0,0,8,1,8,0,0,0,3,5,2,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,2,0,0,0,4,0,3,1,0,0,0,0,8,5,0,0,0,0,2,0,0,0,0,0,0,0,7,4,1,0,0,0,0,4,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,4,0,1,6,7,3,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,14,1,0,0,10,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9,6,0,0,0,0,0,0,1,7,0,1,0,0,4,0,5,4,0,0,3,0,0,0,0,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,8,0,0,0,0,0,0,2,0,6,0,0,0,0,0,8,0,0,0,3,4,0,4,0,0,0,6,0,7,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,3,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,10,0,4,4,0,4,0,6,2,2,1,0,6,0,0,0,0,0,0,0,5,0,0,0,4,0,9,0,0,4,1,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5
real,0,0,23,0,14,0,19,0,0,3,0,0,0,10,0,0,1,0,0,0,0,0,0,4,9,0,0,1,13,6,4,0,0,25,0,0,28,0,2,0,0,0,4,0,4,3,23,0,0,0,1,0,10,0,0,0,13,3,26,0,0,0,5,4,3,0,0,0,0,0,0,0,0,1,0,0,3,8,0,0,13,0,0,0,18,2,16,10,0,0,1,0,20,3,0,4,0,0,14,0,0,0,0,0,0,0,20,7,0,0,0,0,0,4,0,0,0,0,0,1,0,21,18,0,0,0,0,0,1,19,0,0,0,0,3,0,6,0,0,0,0,0,19,0,0,0,5,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,8,0,0,2,0,0,0,30,0,12,0,5,8,21,5,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,16,0,0,0,28,0,0,0,0,0,5,6,0,4,0,0,0,0,0,0,20,28,0,0,0,0,0,0,1,13,0,2,0,1,21,0,3,12,0,0,4,0,0,0,0,22,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,28,2,0,0,0,0,0,7,0,22,0,0,0,1,0,22,0,0,0,23,23,0,2,0,0,0,23,1,13,0,0,0,0,0,0,31,0,0,17,0,0,2,2,0,0,0,0,0,4,43,1,0,0,0,0,0,0,35,0,0,1,3,0,0,0,0,35,0,0,6,0,0,0,16,15,0,0,0,1,0,0,17,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,15,0,0,0,0,0,0,8,1,3,0,7,0,2,0,1,3,24,0,3,22,0,14,0,16,1,16,0,0,30,0,0,0,0,0,0,3,7,0,0,0,3,0,30,0,0,5,1,1,1,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,16
random,0,0,3,0,2,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,7,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,2,0,0,0,4,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,4,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
